0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
0.001,0.01,-0,0.549999,1,0,-1.36961e-05,0.0338733,-0.095374,-0.001,0,1.36961e-05,0.0338733,-0.095374,-0.001,
